x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0191639, -0.0191639, 0.0103622, -0.0162105, -0.0162104, -0.111315, 0.113651, 9.69732, 1524.64, 0
-0.0191726, -0.0191726, 0.0113801, -0.0160255, -0.0160254, -0.111291, 0.113575, 9.69671, 1524.4, 0
-0.0191794, -0.0191794, 0.0123846, -0.0159047, -0.0159045, -0.111272, 0.113523, 9.69197, 1524.1, 0
-0.0191881, -0.0191881, 0.0133906, -0.0159236, -0.0159233, -0.11121, 0.113467, 9.69329, 1523.73, 0
-0.0191974, -0.0191974, 0.0143991, -0.0161064, -0.0161061, -0.111037, 0.113349, 9.71207, 1523.31, 0
-0.0192063, -0.0192063, 0.0154095, -0.0164344, -0.016434, -0.110695, 0.113109, 9.7545, 1522.89, 0
-0.0192143, -0.0192143, 0.0164211, -0.0168629, -0.0168623, -0.110152, 0.112704, 9.81969, 1522.5, 0
-0.0192212, -0.0192212, 0.0174332, -0.0173375, -0.0173366, -0.109402, 0.112116, 9.90098, 1522.17, 0
-0.0192265, -0.0192265, 0.0184455, -0.0178063, -0.017805, -0.108466, 0.11135, 9.98811, 1521.95, 0
-0.0192301, -0.0192301, 0.0194575, -0.0182279, -0.018226, -0.107379, 0.110429, 10.0716, 1521.85, 0
-0.0192317, -0.0192317, 0.0204689, -0.0185745, -0.0185718, -0.106185, 0.109385, 10.1431, 1521.89, 0
-0.019232, -0.019232, 0.0214794, -0.0188297, -0.018826, -0.104929, 0.108254, 10.1973, 1522.07, 0
-0.0192311, -0.019231, 0.0224887, -0.0189887, -0.0189839, -0.103651, 0.107073, 10.2316, 1522.39, 0
-0.0192297, -0.0192296, 0.0234971, -0.0190521, -0.019046, -0.102386, 0.105871, 10.2464, 1522.84, 0
-0.0192273, -0.0192273, 0.0245045, -0.0190271, -0.0190198, -0.101157, 0.104674, 10.2432, 1523.4, 0
-0.0192244, -0.0192244, 0.0255111, -0.0189222, -0.0189141, -0.0999831, 0.103501, 10.2253, 1524.06, 0
-0.0192216, -0.0192215, 0.0265171, -0.0187456, -0.0187371, -0.0988732, 0.102364, 10.1966, 1524.79, 0
-0.019218, -0.019218, 0.0275225, -0.0185076, -0.0184994, -0.0978328, 0.101272, 10.1613, 1525.59, 0
-0.0192143, -0.0192141, 0.0285275, -0.0182158, -0.0182089, -0.0968625, 0.100228, 10.123, 1526.43, 0
-0.0192107, -0.0192107, 0.0295322, -0.0178773, -0.0178721, -0.0959601, 0.0992338, 10.0859, 1527.29, 0
-0.0192064, -0.0192064, 0.0305366, -0.0175, -0.0174973, -0.0951236, 0.09829, 10.0527, 1528.17, 0
-0.0192023, -0.0192023, 0.0315408, -0.0170893, -0.0170896, -0.0943491, 0.0973953, 10.0262, 1529.05, 0
-0.0191984, -0.0191984, 0.0325448, -0.0166512, -0.0166551, -0.0936342, 0.0965506, 10.0091, 1529.93, 0
-0.0191936, -0.0191937, 0.0335485, -0.0161914, -0.0161997, -0.0929792, 0.0957587, 10.0031, 1530.8, 0
-0.0191889, -0.0191889, 0.0345521, -0.0157139, -0.0157277, -0.0923859, 0.0950234, 10.0089, 1531.67, 0
-0.0191839, -0.019184, 0.0355554, -0.0152231, -0.0152431, -0.0918601, 0.0943523, 10.0245, 1532.52, 0
-0.0191791, -0.0191792, 0.0365584, -0.0147223, -0.0147473, -0.0914096, 0.0937547, 10.0465, 1533.36, 0
-0.0191743, -0.0191744, 0.0375612, -0.014213, -0.0142347, -0.0910444, 0.0932401, 10.0706, 1534.18, 0
-0.0191693, -0.0191694, 0.0385636, -0.0136935, -0.0136888, -0.0907768, 0.0928188, 10.089, 1534.98, 0
-0.0191644, -0.0191644, 0.0395657, -0.0131624, -0.0131006, -0.0906189, 0.0925022, 10.0834, 1535.75, 0
-0.0191594, -0.0191593, 0.0405672, -0.0126322, -0.0125259, -0.0905647, 0.0922954, 10.0378, 1536.48, 0
-0.0191546, -0.0191544, 0.0415684, -0.0121376, -0.0120489, -0.0905647, 0.0921654, 9.98109, 1537.15, 0
-0.0191498, -0.0191498, 0.0425694, -0.0116997, -0.0116349, -0.09055, 0.0920411, 9.96132, 1537.76, 0
-0.0191454, -0.0191452, 0.0435702, -0.011259, -0.0111746, -0.0904742, 0.0918543, 9.95947, 1538.33, 0
-0.0191408, -0.0191406, 0.0445709, -0.010732, -0.0106351, -0.0903621, 0.0916165, 9.95114, 1538.86, 0
-0.0191364, -0.019136, 0.0455713, -0.0102071, -0.0101358, -0.0902305, 0.0913699, 9.94389, 1539.36, 0
-0.0191321, -0.0191316, 0.0465717, -0.00971083, -0.00965274, -0.090116, 0.0911502, 9.94162, 1539.84, 0
-0.0191278, -0.0191276, 0.0475717, -0.0092169, -0.00911879, -0.0900578, 0.0909863, 9.92421, 1540.31, 0
-0.0191239, -0.019124, 0.0485715, -0.00880535, -0.00870505, -0.0900367, 0.0908841, 9.88316, 1540.77, 0
-0.0191208, -0.0191208, 0.0495711, -0.00841888, -0.00838346, -0.0900022, 0.090783, 9.8351, 1541.22, 0
-0.0191167, -0.0191169, 0.0505707, -0.0080078, -0.00799288, -0.0899578, 0.0906665, 9.75489, 1541.68, 0
-0.0191128, -0.0191126, 0.0515707, -0.00763565, -0.00752537, -0.0899187, 0.0905555, 9.66645, 1542.13, 0
-0.0191085, -0.0191082, 0.0525707, -0.00726062, -0.0070635, -0.0898841, 0.0904531, 9.6144, 1542.57, 0
-0.0191045, -0.0191041, 0.0535706, -0.00679602, -0.00672755, -0.0898595, 0.0903669, 9.5569, 1543.01, 0
-0.0191006, -0.0191005, 0.0545706, -0.00633593, -0.00656807, -0.0898305, 0.0902929, 9.47741, 1543.43, 0
-0.0190972, -0.019097, 0.0555706, -0.00611236, -0.00627068, -0.0897704, 0.0901965, 9.43393, 1543.85, 0
-0.019094, -0.0190933, 0.0565706, -0.00601902, -0.00580945, -0.089732, 0.0901211, 9.41066, 1544.27, 0
-0.0190909, -0.0190903, 0.0575708, -0.00608349, -0.00564151, -0.0897255, 0.0901083, 9.36219, 1544.69, 0
-0.0190875, -0.0190879, 0.058571, -0.00583024, -0.0059995, -0.0897036, 0.0900929, 9.31677, 1545.09, 0
-0.0190845, -0.0190852, 0.0595712, -0.0055101, -0.00606272, -0.0896622, 0.0900357, 9.28189, 1545.49, 0
-0.0190822, -0.0190829, 0.0605719, -0.00549932, -0.00600063, -0.0895347, 0.0899039, 9.28465, 1545.85, 0
-0.01908, -0.0190813, 0.0615729, -0.0054094, -0.00606457, -0.0892811, 0.0896502, 9.3604, 1546.19, 0
-0.0190782, -0.0190786, 0.062574, -0.0055758, -0.00584319, -0.0889732, 0.0893391, 9.44777, 1546.54, 0
-0.0190768, -0.0190761, 0.0635753, -0.0058396, -0.00563596, -0.0885685, 0.0889395, 9.60105, 1546.89, 0
-0.0190743, -0.0190742, 0.0645766, -0.00556489, -0.00556151, -0.088105, 0.0884555, 9.76551, 1547.29, 0
-0.0190716, -0.0190718, 0.0655778, -0.00518771, -0.0053604, -0.0877279, 0.0880445, 9.85975, 1547.71, 0
-0.0190693, -0.0190692, 0.0665789, -0.00503793, -0.00511404, -0.0874417, 0.0877359, 9.90601, 1548.14, 0
-0.0190671, -0.019067, 0.0675797, -0.00497817, -0.00499933, -0.0871964, 0.0874813, 9.95338, 1548.58, 0
-0.0190649, -0.0190648, 0.0685803, -0.00495613, -0.00495901, -0.0869753, 0.0872574, 10.0095, 1549.03, 0
-0.0190627, -0.0190627, 0.0695808, -0.00496169, -0.00490306, -0.0867856, 0.0870654, 10.0438, 1549.5, 0
-0.0190606, -0.0190607, 0.070581, -0.00496405, -0.00486622, -0.0866285, 0.0869069, 10.0254, 1549.98, 0
-0.0190585, -0.0190587, 0.0715811, -0.00494047, -0.00482582, -0.0864912, 0.0867665, 9.99258, 1550.44, 0
-0.0190564, -0.0190566, 0.0725815, -0.00478197, -0.00470148, -0.0863884, 0.0866483, 9.94951, 1550.91, 0
-0.0190543, -0.0190544, 0.0735819, -0.00453324, -0.0045018, -0.0863479, 0.0865839, 9.84194, 1551.37, 0
-0.0190522, -0.0190523, 0.0745827, -0.0042237, -0.00423451, -0.0863605, 0.0865673, 9.7615, 1551.81, 0
-0.01905, -0.0190503, 0.0755839, -0.00397384, -0.00400657, -0.0863385, 0.0865227, 9.72188, 1552.2, 0
-0.0190479, -0.0190484, 0.0765859, -0.00391064, -0.00399319, -0.0861963, 0.0863773, 9.66291, 1552.54, 0
-0.0190454, -0.0190463, 0.0775883, -0.00347639, -0.00373044, -0.0860225, 0.0861735, 9.62459, 1552.88, 0
-0.0190438, -0.0190452, 0.0785915, -0.00299608, -0.00348495, -0.0858117, 0.0859346, 9.62267, 1553.21, 0
-0.0190431, -0.0190446, 0.0795957, -0.00276169, -0.00316917, -0.0855179, 0.0856211, 9.66276, 1553.53, 0
-0.0190437, -0.0190436, 0.0806005, -0.00255797, -0.00274583, -0.0852242, 0.0853068, 9.69552, 1553.86, 0
-0.0190439, -0.0190438, 0.0816058, -0.0023416, -0.00241365, -0.0850084, 0.0850748, 9.71794, 1554.17, 0
-0.0190443, -0.0190443, 0.0826108, -0.00217437, -0.00221663, -0.084858, 0.0849148, 9.74917, 1554.46, 0
-0.0190448, -0.0190446, 0.0836146, -0.00207947, -0.00211663, -0.0847421, 0.084794, 9.78695, 1554.73, 0
-0.0190445, -0.0190444, 0.0846165, -0.00204372, -0.00207444, -0.0846459, 0.084696, 9.82168, 1554.97, 0
-0.0190441, -0.0190441, 0.085617, -0.00204616, -0.00206901, -0.0845709, 0.0846209, 9.84776, 1555.18, 0
-0.0190448, -0.0190448, 0.0866163, -0.00207355, -0.00209158, -0.084523, 0.0845743, 9.86553, 1555.34, 0
-0.0190465, -0.0190466, 0.0876153, -0.00212262, -0.0021397, -0.0845046, 0.0845583, 9.87678, 1555.47, 0
-0.0190462, -0.0190463, 0.0886237, -0.00219976, -0.00221741, -0.0845091, 0.0845668, 9.88146, 1555.55, 0
-0.0191746, -0.0181471, 0.0103518, -0.0162, -0.0162362, -0.111434, 0.11377, 9.69952, 1524.34, 0
-0.019189, -0.0181515, 0.0113742, -0.0159974, -0.0160345, -0.111393, 0.113673, 9.70238, 1524.12, 0
-0.0191954, -0.018159, 0.0123816, -0.0158567, -0.0159102, -0.111332, 0.113575, 9.70409, 1523.81, 0
-0.0192036, -0.0181682, 0.0133891, -0.0158602, -0.0159388, -0.111202, 0.113453, 9.71363, 1523.44, 0
-0.0192129, -0.018178, 0.0143983, -0.0160322, -0.0161417, -0.110959, 0.113267, 9.73815, 1523.02, 0
-0.0192219, -0.0181875, 0.015409, -0.0163535, -0.0164967, -0.110562, 0.112976, 9.78129, 1522.6, 0
-0.01923, -0.0181958, 0.0164205, -0.0167786, -0.0169553, -0.109991, 0.112548, 9.84189, 1522.2, 0
-0.0192368, -0.0182029, 0.0174323, -0.0172524, -0.0174592, -0.109244, 0.111967, 9.91413, 1521.88, 0
-0.019242, -0.0182087, 0.0184441, -0.0177223, -0.0179537, -0.108338, 0.111236, 9.99019, 1521.65, 0
-0.0192455, -0.0182127, 0.0194556, -0.0181459, -0.0183955, -0.107302, 0.110369, 10.0621, 1521.55, 0
-0.0192474, -0.0182145, 0.0204665, -0.0184947, -0.0187558, -0.106172, 0.109391, 10.1238, 1521.58, 0
-0.0192476, -0.0182149, 0.0214766, -0.0187527, -0.0190186, -0.104986, 0.108331, 10.1707, 1521.76, 0
-0.0192467, -0.0182141, 0.0224857, -0.0189141, -0.0191789, -0.103778, 0.107217, 10.2006, 1522.07, 0
-0.0192448, -0.0182126, 0.023494, -0.0189802, -0.0192389, -0.102577, 0.106077, 10.2137, 1522.51, 0
-0.0192426, -0.0182103, 0.0245015, -0.0189568, -0.0192065, -0.101405, 0.104934, 10.2117, 1523.07, 0
-0.0192396, -0.0182077, 0.0255083, -0.018853, -0.0190913, -0.100279, 0.103807, 10.1969, 1523.72, 0
-0.0192363, -0.0182048, 0.0265144, -0.0186779, -0.0189038, -0.0992101, 0.102708, 10.1725, 1524.45, 0
