x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.019, -0.019, 0.011, 0, 0, 0, 0, 0, 1561.78, 1210.36
-0.019, -0.019, 0.012, 0, 0, 0, 0, 0, 1561.78, 1195.04
-0.019, -0.019, 0.013, 0, 0, 0, 0, 0, 1561.78, 1179.72
-0.019, -0.019, 0.014, 0, 0, 0, 0, 0, 1561.78, 1164.4
-0.019, -0.019, 0.015, 0, 0, 0, 0, 0, 1561.78, 1149.08
-0.019, -0.019, 0.016, 0, 0, 0, 0, 0, 1561.78, 1133.76
-0.019, -0.019, 0.017, 0, 0, 0, 0, 0, 1561.78, 1118.44
-0.019, -0.019, 0.018, 0, 0, 0, 0, 0, 1561.78, 1103.12
-0.019, -0.019, 0.019, 0, 0, 0, 0, 0, 1561.78, 1087.8
-0.019, -0.019, 0.02, 0, 0, 0, 0, 0, 1561.78, 1072.48
-0.019, -0.019, 0.021, 0, 0, 0, 0, 0, 1561.78, 1057.15
-0.019, -0.019, 0.022, 0, 0, 0, 0, 0, 1561.78, 1041.83
-0.019, -0.019, 0.023, 0, 0, 0, 0, 0, 1561.78, 1026.51
-0.019, -0.019, 0.024, 0, 0, 0, 0, 0, 1561.78, 1011.19
-0.019, -0.019, 0.025, 0, 0, 0, 0, 0, 1561.78, 995.87
-0.019, -0.019, 0.026, 0, 0, 0, 0, 0, 1561.78, 980.549
-0.019, -0.019, 0.027, 0, 0, 0, 0, 0, 1561.78, 965.228
-0.019, -0.019, 0.028, 0, 0, 0, 0, 0, 1561.78, 949.907
-0.019, -0.019, 0.029, 0, 0, 0, 0, 0, 1561.78, 934.586
-0.019, -0.019, 0.03, 0, 0, 0, 0, 0, 1561.78, 919.264
-0.019, -0.019, 0.031, 0, 0, 0, 0, 0, 1561.78, 903.943
-0.019, -0.019, 0.032, 0, 0, 0, 0, 0, 1561.78, 888.622
-0.019, -0.019, 0.033, 0, 0, 0, 0, 0, 1561.78, 873.301
-0.019, -0.019, 0.034, 0, 0, 0, 0, 0, 1561.78, 857.98
-0.019, -0.019, 0.035, 0, 0, 0, 0, 0, 1561.78, 842.659
-0.019, -0.019, 0.036, 0, 0, 0, 0, 0, 1561.78, 827.338
-0.019, -0.019, 0.037, 0, 0, 0, 0, 0, 1561.78, 812.017
-0.019, -0.019, 0.038, 0, 0, 0, 0, 0, 1561.78, 796.696
-0.019, -0.019, 0.039, 0, 0, 0, 0, 0, 1561.78, 781.375
-0.019, -0.019, 0.04, 0, 0, 0, 0, 0, 1561.78, 766.054
-0.019, -0.019, 0.041, 0, 0, 0, 0, 0, 1561.78, 750.733
-0.019, -0.019, 0.042, 0, 0, 0, 0, 0, 1561.78, 735.411
-0.019, -0.019, 0.043, 0, 0, 0, 0, 0, 1561.78, 720.09
-0.019, -0.019, 0.044, 0, 0, 0, 0, 0, 1561.78, 704.769
-0.019, -0.019, 0.045, 0, 0, 0, 0, 0, 1561.78, 689.448
-0.019, -0.019, 0.046, 0, 0, 0, 0, 0, 1561.78, 674.127
-0.019, -0.019, 0.047, 0, 0, 0, 0, 0, 1561.78, 658.806
-0.019, -0.019, 0.048, 0, 0, 0, 0, 0, 1561.78, 643.485
-0.019, -0.019, 0.049, 0, 0, 0, 0, 0, 1561.78, 628.164
-0.019, -0.019, 0.05, 0, 0, 0, 0, 0, 1561.78, 612.843
-0.019, -0.019, 0.051, 0, 0, 0, 0, 0, 1561.78, 597.522
-0.019, -0.019, 0.052, 0, 0, 0, 0, 0, 1561.78, 582.201
-0.019, -0.019, 0.053, 0, 0, 0, 0, 0, 1561.78, 566.88
