x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0191781, -0.0191794, 0.060194, -0.00434895, -0.00434075, -0.186878, 0.186979, 9.82541, 1533.11, 0
-0.0191752, -0.0191759, 0.061197, -0.00421458, -0.00421258, -0.18672, 0.186815, 9.82625, 1533.91, 0
-0.0191727, -0.0191722, 0.0622003, -0.00408497, -0.00409037, -0.186554, 0.186643, 9.82932, 1534.7, 0
-0.0191688, -0.0191692, 0.0632037, -0.00395922, -0.00397088, -0.186381, 0.186466, 9.8313, 1535.46, 0
-0.0191647, -0.0191655, 0.0642071, -0.00383657, -0.0038526, -0.186205, 0.186284, 9.83293, 1536.22, 0
-0.0191612, -0.0191614, 0.0652102, -0.00371682, -0.00373445, -0.186025, 0.1861, 9.83605, 1536.96, 0
-0.0191577, -0.0191579, 0.066213, -0.00360024, -0.00361587, -0.185844, 0.185914, 9.83617, 1537.69, 0
-0.0191544, -0.0191544, 0.0672155, -0.00348656, -0.00349732, -0.185662, 0.185727, 9.83618, 1538.41, 0
-0.0191512, -0.019151, 0.0682178, -0.00337522, -0.00337914, -0.185479, 0.18554, 9.83617, 1539.11, 0
-0.0191481, -0.0191478, 0.0692198, -0.00326527, -0.0032616, -0.185294, 0.185352, 9.83474, 1539.8, 0
-0.019145, -0.0191447, 0.0702217, -0.00315535, -0.00314485, -0.185108, 0.185162, 9.83435, 1540.48, 0
-0.0191417, -0.0191413, 0.0712237, -0.00304417, -0.00302855, -0.18492, 0.18497, 9.83433, 1541.15, 0
-0.019138, -0.0191378, 0.0722259, -0.00293037, -0.00291198, -0.184731, 0.184777, 9.83466, 1541.81, 0
-0.0191343, -0.0191342, 0.0732284, -0.0028129, -0.00279436, -0.18454, 0.184583, 9.8363, 1542.45, 0
-0.0191306, -0.0191306, 0.0742314, -0.00269106, -0.00267474, -0.18435, 0.184389, 9.83812, 1543.08, 0
-0.0191271, -0.0191274, 0.0752351, -0.00256468, -0.0025523, -0.184162, 0.184198, 9.84196, 1543.69, 0
-0.0191226, -0.0191238, 0.0762395, -0.00243438, -0.00242655, -0.183979, 0.184011, 9.84607, 1544.29, 0
-0.0191187, -0.0191213, 0.0772447, -0.00230101, -0.00229751, -0.183805, 0.183833, 9.85067, 1544.86, 0
-0.019116, -0.0191187, 0.0782507, -0.00216606, -0.00216612, -0.183642, 0.183667, 9.85557, 1545.42, 0
-0.0191149, -0.0191152, 0.0792573, -0.00203139, -0.00203504, -0.183494, 0.183517, 9.85982, 1545.94, 0
-0.019113, -0.0191133, 0.0802639, -0.00190018, -0.00190646, -0.183364, 0.183384, 9.86353, 1546.44, 0
-0.0191116, -0.0191119, 0.0812699, -0.00177465, -0.00178403, -0.183254, 0.183271, 9.86634, 1546.89, 0
-0.0191107, -0.0191107, 0.0822746, -0.00165713, -0.00167067, -0.183164, 0.183179, 9.86794, 1547.3, 0
-0.0191092, -0.0191094, 0.0832774, -0.00154931, -0.00156797, -0.183094, 0.183107, 9.86685, 1547.66, 0
-0.0191081, -0.0191083, 0.0842787, -0.00145167, -0.00147609, -0.183041, 0.183053, 9.86549, 1547.96, 0
-0.0191082, -0.0191085, 0.0852796, -0.00136323, -0.0013934, -0.183004, 0.183014, 9.86288, 1548.2, 0
-0.0191091, -0.0191095, 0.0862865, -0.00128134, -0.00131658, -0.182978, 0.182988, 9.86062, 1548.37, 0
-0.0191002, -0.0191006, 0.0873255, -0.00120117, -0.00124036, -0.182966, 0.182974, 9.85823, 1548.49, 0
-0.019387, -0.0183168, 0.00869826, -0.0147802, -0.0147717, -0.208088, 0.209134, 9.65606, 1496.85, 0
-0.0194184, -0.0183263, 0.00975687, -0.0146132, -0.0146096, -0.208055, 0.209079, 9.65628, 1496.64, 0
-0.0194252, -0.0183343, 0.0107829, -0.0144481, -0.0144536, -0.207989, 0.20899, 9.65613, 1496.38, 0
-0.0194328, -0.0183419, 0.0117968, -0.0143117, -0.0143293, -0.20788, 0.208864, 9.65767, 1496.05, 0
-0.0194421, -0.0183515, 0.0128082, -0.0142211, -0.0142535, -0.207716, 0.20869, 9.66162, 1495.69, 0
-0.0194518, -0.0183627, 0.013821, -0.0141835, -0.0142334, -0.207483, 0.208454, 9.6692, 1495.3, 0
-0.0194617, -0.018372, 0.0148359, -0.0141993, -0.0142669, -0.207169, 0.208144, 9.68389, 1494.9, 0
