x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0191915, -0.0191915, 0.0103255, -0.0180207, -0.0180207, -0.114874, 0.117667, 9.68501, 1558.23, 0
-0.0192069, -0.0192069, 0.0113457, -0.0178905, -0.0178905, -0.114854, 0.117608, 9.68679, 1557.69, 0
-0.0192232, -0.0192232, 0.0123547, -0.0180399, -0.0180399, -0.114819, 0.117619, 9.70316, 1557.02, 0
-0.0192415, -0.0192415, 0.0133682, -0.0186161, -0.0186161, -0.114593, 0.117579, 9.76399, 1556.27, 0
-0.0192591, -0.0192591, 0.0143862, -0.0195707, -0.0195707, -0.11402, 0.117331, 9.88183, 1555.6, 0
-0.0192742, -0.0192742, 0.0154064, -0.0207558, -0.0207558, -0.113032, 0.116781, 10.0411, 1555.18, 0
-0.0192864, -0.0192864, 0.0164266, -0.0220132, -0.0220132, -0.111666, 0.115925, 10.2116, 1555.14, 0
-0.0192956, -0.0192956, 0.0174456, -0.0232227, -0.0232227, -0.110022, 0.11482, 10.3644, 1555.59, 0
-0.0193022, -0.0193022, 0.0184626, -0.0243111, -0.0243111, -0.108223, 0.113553, 10.4809, 1556.55, 0
-0.0193066, -0.0193066, 0.0194772, -0.025243, -0.025243, -0.10638, 0.11221, 10.5533, 1558.03, 0
-0.0193092, -0.0193092, 0.0204894, -0.026007, -0.026007, -0.104586, 0.110865, 10.5814, 1559.96, 0
-0.0193103, -0.0193103, 0.0214995, -0.026605, -0.026605, -0.102905, 0.109568, 10.5696, 1562.28, 0
-0.0193102, -0.0193102, 0.0225076, -0.0270457, -0.0270457, -0.101379, 0.108354, 10.5249, 1564.89, 0
-0.019309, -0.019309, 0.0235141, -0.027342, -0.027342, -0.100029, 0.107242, 10.4551, 1567.7, 0
-0.0193069, -0.0193069, 0.0245191, -0.027508, -0.027508, -0.0988605, 0.106239, 10.3686, 1570.62, 0
-0.0193046, -0.0193046, 0.025523, -0.0275585, -0.0275585, -0.0978701, 0.105345, 10.2724, 1573.58, 0
-0.0193015, -0.0193015, 0.0265259, -0.0275092, -0.0275092, -0.0970449, 0.104552, 10.1729, 1576.49, 0
-0.019298, -0.019298, 0.0275282, -0.0273741, -0.0273742, -0.0963679, 0.103853, 10.075, 1579.3, 0
-0.0192942, -0.0192942, 0.0285299, -0.0271671, -0.0271671, -0.0958193, 0.103235, 9.98217, 1581.96, 0
-0.0192902, -0.0192902, 0.0295311, -0.0269, -0.0269, -0.0953788, 0.102686, 9.89646, 1584.44, 0
-0.019286, -0.019286, 0.0305321, -0.0265832, -0.0265832, -0.0950266, 0.102193, 9.81893, 1586.73, 0
-0.0192817, -0.0192817, 0.0315328, -0.0262248, -0.0262247, -0.094745, 0.101745, 9.75006, 1588.81, 0
-0.0192773, -0.0192773, 0.0325334, -0.025831, -0.0258308, -0.0945185, 0.101332, 9.68922, 1590.68, 0
-0.0192727, -0.0192727, 0.0335338, -0.0254062, -0.0254062, -0.0943349, 0.100946, 9.63614, 1592.35, 0
-0.0192682, -0.0192682, 0.0345341, -0.0249542, -0.0249543, -0.0941849, 0.100579, 9.58988, 1593.84, 0
-0.0192635, -0.0192636, 0.0355343, -0.024478, -0.0244783, -0.0940621, 0.10023, 9.54968, 1595.16, 0
-0.0192588, -0.0192588, 0.0365345, -0.0239812, -0.0239816, -0.0939623, 0.0998956, 9.51466, 1596.33, 0
-0.0192541, -0.0192541, 0.0375347, -0.0234673, -0.0234675, -0.0938825, 0.0995759, 9.48398, 1597.37, 0
-0.0192494, -0.0192494, 0.0385348, -0.0229402, -0.0229395, -0.0938204, 0.099271, 9.457, 1598.3, 0
-0.0192446, -0.0192446, 0.0395349, -0.0224035, -0.0224008, -0.0937744, 0.0989816, 9.43381, 1599.12, 0
-0.0192398, -0.0192398, 0.0405349, -0.0218605, -0.0218548, -0.0937436, 0.0987085, 9.41492, 1599.88, 0
-0.019235, -0.019235, 0.0415349, -0.0213153, -0.0213057, -0.0937272, 0.0984533, 9.40148, 1600.57, 0
-0.0192302, -0.0192302, 0.042535, -0.0207729, -0.020759, -0.0937238, 0.0982171, 9.3941, 1601.22, 0
-0.0192255, -0.0192255, 0.0435349, -0.0202379, -0.0202203, -0.0937301, 0.0979988, 9.39261, 1601.85, 0
-0.0192208, -0.0192207, 0.0445349, -0.0197129, -0.0196926, -0.093742, 0.0977955, 9.39595, 1602.48, 0
-0.0192163, -0.0192162, 0.0455349, -0.019198, -0.0191762, -0.0937556, 0.0976033, 9.40234, 1603.11, 0
-0.0192116, -0.0192115, 0.0465349, -0.0186922, -0.0186699, -0.0937691, 0.0974197, 9.41019, 1603.76, 0
-0.0192068, -0.0192068, 0.0475349, -0.0181951, -0.0181722, -0.0937814, 0.0972432, 9.4183, 1604.43, 0
-0.0192022, -0.0192021, 0.0485349, -0.0177062, -0.0176812, -0.0937923, 0.0970728, 9.42592, 1605.13, 0
-0.0191976, -0.0191975, 0.0495349, -0.0172253, -0.0171958, -0.093802, 0.0969083, 9.43292, 1605.86, 0
-0.0191929, -0.0191928, 0.0505349, -0.0167516, -0.0167153, -0.0938107, 0.0967495, 9.43911, 1606.61, 0
-0.0191883, -0.0191882, 0.0515349, -0.0162841, -0.01624, -0.0938186, 0.0965963, 9.44488, 1607.39, 0
-0.0191837, -0.0191836, 0.0525349, -0.0158217, -0.0157701, -0.0938256, 0.0964483, 9.45005, 1608.19, 0
-0.0191791, -0.0191789, 0.0535349, -0.0153628, -0.0153058, -0.0938316, 0.096305, 9.45495, 1609.02, 0
-0.0191745, -0.0191743, 0.0545349, -0.0149051, -0.0148473, -0.093837, 0.0961665, 9.45945, 1609.86, 0
-0.0191699, -0.0191698, 0.0555349, -0.0144472, -0.0143948, -0.0938429, 0.0960334, 9.46364, 1610.73, 0
-0.0191653, -0.0191652, 0.0565349, -0.0139901, -0.0139488, -0.0938502, 0.095907, 9.46732, 1611.62, 0
-0.0191606, -0.0191606, 0.0575349, -0.013537, -0.0135094, -0.0938589, 0.0957875, 9.47082, 1612.52, 0
-0.0191561, -0.0191561, 0.0585349, -0.0130908, -0.0130756, -0.0938677, 0.0956739, 9.47408, 1613.44, 0
-0.0191515, -0.0191515, 0.0595349, -0.0126521, -0.0126457, -0.093875, 0.0955641, 9.477, 1614.38, 0
-0.0191469, -0.0191469, 0.0605349, -0.0122197, -0.0122185, -0.0938793, 0.0954565, 9.47916, 1615.32, 0
