x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0199256, -0.0199277, 0.00228622, -0.0158987, -0.0159107, -0.402852, 0.40348, 6.00504, 1454.27, 0
-0.0197992, -0.0197986, 0.00332386, -0.0161885, -0.0161926, -0.405491, 0.406137, 9.49305, 1451.93, 0
-0.019964, -0.0199675, 0.00438988, -0.0156542, -0.0156593, -0.405634, 0.406237, 8.91354, 1451, 0
-0.0198504, -0.0198466, 0.00540337, -0.0155334, -0.0155365, -0.405698, 0.406292, 9.32773, 1450.2, 0
-0.0199938, -0.0200114, 0.00643535, -0.0152765, -0.0152767, -0.405711, 0.406286, 9.04457, 1449.65, 0
-0.019964, -0.0199428, 0.00744953, -0.0152441, -0.0152542, -0.405636, 0.406209, 9.17748, 1448.96, 0
-0.0200311, -0.0200455, 0.00848343, -0.0153026, -0.0153, -0.405489, 0.406066, 9.48687, 1448.37, 0
-0.0200873, -0.0200673, 0.00953381, -0.0154455, -0.0154703, -0.405226, 0.405815, 9.66879, 1447.77, 0
-0.0200103, -0.0200226, 0.0105749, -0.0157231, -0.0157453, -0.404815, 0.405426, 9.72859, 1447.14, 0
-0.0201683, -0.0201199, 0.0116478, -0.0159029, -0.0160219, -0.404347, 0.404976, 9.76787, 1446.82, 0
-0.0199826, -0.0201143, 0.0127281, -0.0163682, -0.0163809, -0.403643, 0.404306, 9.77672, 1446.39, 0
-0.020241, -0.0201455, 0.0137907, -0.0165088, -0.0166893, -0.402974, 0.403657, 9.80842, 1446.44, 0
-0.0199763, -0.0200687, 0.0148781, -0.0170407, -0.0170942, -0.401975, 0.402699, 9.82049, 1446.35, 0
-0.0202643, -0.0201883, 0.0159133, -0.0171054, -0.0172744, -0.401158, 0.401894, 9.8508, 1446.94, 0
-0.0200052, -0.0200698, 0.0169772, -0.0176113, -0.0176427, -0.400083, 0.400858, 9.868, 1447.31, 0
-0.0202648, -0.0202176, 0.0180129, -0.0176314, -0.0176957, -0.399136, 0.399917, 9.88727, 1448.4, 0
-0.0200584, -0.0200331, 0.0190629, -0.0180199, -0.0180535, -0.398032, 0.398849, 9.90198, 1449.26, 0
-0.0201958, -0.0202753, 0.0201053, -0.0180302, -0.0179051, -0.396996, 0.397808, 9.92332, 1450.85, 0
-0.0201265, -0.0199704, 0.0211398, -0.0182095, -0.0182643, -0.39593, 0.396769, 9.93005, 1452.19, 0
