x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0194171, -0.0194171, 0.00864494, -0.0175043, -0.0175043, -0.211895, 0.213336, 9.7073, 1522.05, 0
-0.0194408, -0.0194408, 0.00969977, -0.0173646, -0.0173646, -0.211869, 0.213287, 9.70615, 1521.57, 0
-0.0194582, -0.0194582, 0.0107227, -0.0173018, -0.0173018, -0.211855, 0.213264, 9.70394, 1520.99, 0
-0.0194793, -0.0194793, 0.0117397, -0.0173996, -0.0173996, -0.211808, 0.213233, 9.70608, 1520.31, 0
-0.0195023, -0.0195023, 0.0127602, -0.0176961, -0.0176961, -0.211661, 0.213136, 9.71805, 1519.58, 0
-0.0195252, -0.0195252, 0.0137849, -0.0181826, -0.0181826, -0.211349, 0.212907, 9.74379, 1518.85, 0
-0.0195463, -0.0195463, 0.0148127, -0.0188187, -0.0188188, -0.210828, 0.212501, 9.78321, 1518.22, 0
-0.0195648, -0.0195648, 0.0158422, -0.0195498, -0.0195499, -0.210083, 0.211894, 9.83301, 1517.75, 0
-0.0195807, -0.0195807, 0.0168718, -0.0203176, -0.0203178, -0.209127, 0.211092, 9.88844, 1517.52, 0
-0.0195933, -0.0195933, 0.0179007, -0.0210721, -0.0210723, -0.207994, 0.210118, 9.94421, 1517.57, 0
-0.0196029, -0.0196029, 0.0189281, -0.0217775, -0.0217779, -0.206725, 0.209006, 9.99528, 1517.95, 0
-0.01961, -0.0196101, 0.0199535, -0.0224061, -0.0224068, -0.205368, 0.207798, 10.0389, 1518.66, 0
-0.0196148, -0.0196148, 0.0209768, -0.0229457, -0.0229466, -0.203967, 0.206532, 10.0725, 1519.72, 0
-0.0196171, -0.0196171, 0.0219976, -0.0233887, -0.02339, -0.202563, 0.205246, 10.0956, 1521.11, 0
-0.0196175, -0.0196175, 0.0230161, -0.0237354, -0.0237372, -0.201186, 0.203967, 10.1075, 1522.8, 0
-0.0196168, -0.0196168, 0.0240324, -0.023987, -0.0239895, -0.199862, 0.202721, 10.1096, 1524.77, 0
-0.0196139, -0.0196139, 0.0250465, -0.0241513, -0.0241544, -0.198608, 0.201524, 10.1024, 1526.97, 0
-0.01961, -0.01961, 0.0260588, -0.024232, -0.0242359, -0.197435, 0.200387, 10.0872, 1529.37, 0
-0.0196051, -0.0196051, 0.0270693, -0.0242367, -0.0242413, -0.196349, 0.199319, 10.0654, 1531.93, 0
-0.0195992, -0.0195993, 0.0280783, -0.0241707, -0.0241758, -0.195352, 0.19832, 10.0386, 1534.6, 0
-0.0195927, -0.0195927, 0.0290861, -0.0240392, -0.0240447, -0.194441, 0.197392, 10.0075, 1537.35, 0
