x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.019664, -0.019664, 0.00596655, -0.0166625, -0.0166627, -0.308962, 0.30986, 9.70737, 1485.74, 0
-0.0196855, -0.0196849, 0.00702624, -0.0165243, -0.0165245, -0.308925, 0.309808, 9.70651, 1485.25, 0
-0.0197146, -0.019715, 0.00808524, -0.0164113, -0.0164116, -0.308886, 0.309756, 9.704, 1484.66, 0
-0.0197316, -0.0197185, 0.00910845, -0.0163736, -0.0163743, -0.308832, 0.309699, 9.70411, 1483.99, 0
-0.0197606, -0.0197656, 0.0101426, -0.0164485, -0.0164473, -0.308733, 0.309608, 9.70707, 1483.3, 0
-0.0197896, -0.0197844, 0.0111673, -0.0166375, -0.0166371, -0.308552, 0.309448, 9.71622, 1482.58, 0
-0.0198128, -0.0198146, 0.0122016, -0.0169432, -0.0169444, -0.308253, 0.309183, 9.73096, 1481.87, 0
-0.0198389, -0.0198383, 0.0132374, -0.017344, -0.0173447, -0.307814, 0.30879, 9.75165, 1481.22, 0
-0.0198576, -0.0198615, 0.0142742, -0.017804, -0.0178051, -0.307222, 0.308252, 9.77911, 1480.69, 0
-0.0198824, -0.019876, 0.0153141, -0.0182989, -0.0183113, -0.306481, 0.307572, 9.80606, 1480.32, 0
-0.0198887, -0.0199006, 0.0163545, -0.018801, -0.0188133, -0.305601, 0.306756, 9.83625, 1480.15, 0
-0.0199113, -0.0199042, 0.0173937, -0.0192971, -0.0192864, -0.304609, 0.305828, 9.86803, 1480.23, 0
-0.0199077, -0.0199202, 0.0184296, -0.019721, -0.0197371, -0.303522, 0.304802, 9.89037, 1480.57, 0
-0.0199266, -0.019921, 0.019466, -0.0201236, -0.0201277, -0.302375, 0.303711, 9.92043, 1481.2, 0
-0.0199197, -0.019929, 0.0204962, -0.0204417, -0.0204587, -0.301192, 0.302578, 9.93884, 1482.1, 0
-0.0199306, -0.0199276, 0.0215276, -0.0207265, -0.0207185, -0.29999, 0.301418, 9.95783, 1483.3, 0
-0.0199261, -0.0199256, 0.0225533, -0.0209117, -0.0209231, -0.298796, 0.300257, 9.97091, 1484.75, 0
-0.0199233, -0.0199255, 0.0235795, -0.0210446, -0.0210677, -0.297616, 0.299102, 9.97859, 1486.48, 0
-0.0199231, -0.0199153, 0.0246014, -0.0211217, -0.0211193, -0.296476, 0.297976, 9.98317, 1488.43, 0
-0.0199117, -0.0199145, 0.0256227, -0.0211214, -0.0211361, -0.295373, 0.29688, 9.98079, 1490.62, 0
-0.019907, -0.0199036, 0.0266411, -0.0210794, -0.0210638, -0.294327, 0.295832, 9.9781, 1492.99, 0
-0.0198941, -0.0198981, 0.0276578, -0.0209496, -0.0209639, -0.293339, 0.294832, 9.97293, 1495.52, 0
-0.019887, -0.019885, 0.0286726, -0.0207917, -0.0207821, -0.292411, 0.293885, 9.967, 1498.21, 0
-0.0198732, -0.0198761, 0.0296858, -0.0205589, -0.0205682, -0.291549, 0.292996, 9.95891, 1501.02, 0
-0.0198634, -0.0198614, 0.0306976, -0.0202957, -0.0202861, -0.290754, 0.292167, 9.94933, 1503.92, 0
-0.0198487, -0.0198498, 0.0317078, -0.019973, -0.019975, -0.290029, 0.291401, 9.93987, 1506.91, 0
-0.0198366, -0.0198339, 0.0327169, -0.0196197, -0.0196119, -0.289371, 0.290698, 9.92874, 1509.95, 0
-0.0198204, -0.0198208, 0.0337247, -0.0192297, -0.0192207, -0.288779, 0.290056, 9.91899, 1513.05, 0
-0.0198063, -0.0198044, 0.0347314, -0.0188074, -0.0187988, -0.288254, 0.289478, 9.90741, 1516.17, 0
-0.0197897, -0.0197896, 0.0357372, -0.018361, -0.0183604, -0.287793, 0.288962, 9.89473, 1519.3, 0
-0.0197748, -0.0197722, 0.0367418, -0.0179015, -0.0178973, -0.287394, 0.288507, 9.88314, 1522.4, 0
-0.0197549, -0.0197595, 0.0377457, -0.0174235, -0.017429, -0.287051, 0.288107, 9.87083, 1525.49, 0
-0.0197417, -0.0197402, 0.0387488, -0.0169461, -0.0169531, -0.286757, 0.287757, 9.85822, 1528.56, 0
-0.0197226, -0.0197267, 0.0397512, -0.01646, -0.0164754, -0.286507, 0.287452, 9.84625, 1531.6, 0
-0.0197093, -0.0197078, 0.0407534, -0.0159802, -0.015997, -0.286295, 0.287186, 9.83315, 1534.59, 0
-0.0196932, -0.0196925, 0.0417547, -0.0155007, -0.0155219, -0.286113, 0.286953, 9.82169, 1537.52, 0
-0.019678, -0.0196764, 0.042756, -0.015024, -0.0150465, -0.285958, 0.286747, 9.81032, 1540.4, 0
-0.0196613, -0.019662, 0.0437569, -0.0145537, -0.0145761, -0.285824, 0.286565, 9.79954, 1543.23, 0
-0.0196453, -0.0196475, 0.0447575, -0.0140826, -0.0141068, -0.285708, 0.286402, 9.78971, 1545.99, 0
-0.0196319, -0.0196312, 0.045758, -0.0136172, -0.0136411, -0.285608, 0.286257, 9.78045, 1548.71, 0
-0.0196156, -0.0196174, 0.0467584, -0.0131535, -0.0131757, -0.285521, 0.286128, 9.77158, 1551.35, 0
-0.0196026, -0.019601, 0.0477588, -0.012695, -0.0127146, -0.285447, 0.286012, 9.7634, 1553.94, 0
-0.0195877, -0.0195869, 0.0487589, -0.0122404, -0.0122561, -0.285383, 0.285908, 9.75608, 1556.48, 0
-0.0195747, -0.0195709, 0.049759, -0.0117891, -0.0118024, -0.285328, 0.285815, 9.74945, 1558.97, 0
-0.0195594, -0.0195578, 0.0507589, -0.0113441, -0.0113553, -0.285279, 0.28573, 9.74326, 1561.42, 0
-0.0195462, -0.0195427, 0.0517588, -0.010901, -0.010912, -0.285237, 0.285654, 9.73783, 1563.82, 0
