x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.019, -0.019, 0.011, 0, 0, 0, 0, 0, 1644.29, 1274.31
-0.019, -0.019, 0.012, 0, 0, 0, 0, 0, 1644.29, 1258.18
-0.019, -0.019, 0.013, 0, 0, 0, 0, 0, 1644.29, 1242.05
-0.019, -0.019, 0.014, 0, 0, 0, 0, 0, 1644.29, 1225.92
-0.019, -0.019, 0.015, 0, 0, 0, 0, 0, 1644.29, 1209.79
-0.019, -0.019, 0.016, 0, 0, 0, 0, 0, 1644.29, 1193.66
-0.019, -0.019, 0.017, 0, 0, 0, 0, 0, 1644.29, 1177.53
-0.019, -0.019, 0.018, 0, 0, 0, 0, 0, 1644.29, 1161.4
-0.019, -0.019, 0.019, 0, 0, 0, 0, 0, 1644.29, 1145.27
-0.019, -0.019, 0.02, 0, 0, 0, 0, 0, 1644.29, 1129.14
-0.019, -0.019, 0.021, 0, 0, 0, 0, 0, 1644.29, 1113.01
-0.019, -0.019, 0.022, 0, 0, 0, 0, 0, 1644.29, 1096.88
-0.019, -0.019, 0.023, 0, 0, 0, 0, 0, 1644.29, 1080.75
-0.019, -0.019, 0.024, 0, 0, 0, 0, 0, 1644.29, 1064.61
-0.019, -0.019, 0.025, 0, 0, 0, 0, 0, 1644.29, 1048.48
-0.019, -0.019, 0.026, 0, 0, 0, 0, 0, 1644.29, 1032.35
-0.019, -0.019, 0.027, 0, 0, 0, 0, 0, 1644.29, 1016.22
-0.019, -0.019, 0.028, 0, 0, 0, 0, 0, 1644.29, 1000.09
-0.019, -0.019, 0.029, 0, 0, 0, 0, 0, 1644.29, 983.962
-0.019, -0.019, 0.03, 0, 0, 0, 0, 0, 1644.29, 967.832
-0.019, -0.019, 0.031, 0, 0, 0, 0, 0, 1644.29, 951.701
-0.019, -0.019, 0.032, 0, 0, 0, 0, 0, 1644.29, 935.571
-0.019, -0.019, 0.033, 0, 0, 0, 0, 0, 1644.29, 919.44
-0.019, -0.019, 0.034, 0, 0, 0, 0, 0, 1644.29, 903.31
-0.019, -0.019, 0.035, 0, 0, 0, 0, 0, 1644.29, 887.179
-0.019, -0.019, 0.036, 0, 0, 0, 0, 0, 1644.29, 871.049
-0.019, -0.019, 0.037, 0, 0, 0, 0, 0, 1644.29, 854.918
-0.019, -0.019, 0.038, 0, 0, 0, 0, 0, 1644.29, 838.788
-0.019, -0.019, 0.039, 0, 0, 0, 0, 0, 1644.29, 822.657
-0.019, -0.019, 0.04, 0, 0, 0, 0, 0, 1644.29, 806.526
-0.019, -0.019, 0.041, 0, 0, 0, 0, 0, 1644.29, 790.396
-0.019, -0.019, 0.042, 0, 0, 0, 0, 0, 1644.29, 774.265
-0.019, -0.019, 0.043, 0, 0, 0, 0, 0, 1644.29, 758.135
-0.019, -0.019, 0.044, 0, 0, 0, 0, 0, 1644.29, 742.004
-0.019, -0.019, 0.045, 0, 0, 0, 0, 0, 1644.29, 725.874
-0.019, -0.019, 0.046, 0, 0, 0, 0, 0, 1644.29, 709.743
-0.019, -0.019, 0.047, 0, 0, 0, 0, 0, 1644.29, 693.613
-0.019, -0.019, 0.048, 0, 0, 0, 0, 0, 1644.29, 677.482
-0.019, -0.019, 0.049, 0, 0, 0, 0, 0, 1644.29, 661.352
-0.019, -0.019, 0.05, 0, 0, 0, 0, 0, 1644.29, 645.221
-0.019, -0.019, 0.051, 0, 0, 0, 0, 0, 1644.29, 629.091
-0.019, -0.019, 0.052, 0, 0, 0, 0, 0, 1644.29, 612.96
-0.019, -0.019, 0.053, 0, 0, 0, 0, 0, 1644.29, 596.83
-0.019, -0.019, 0.054, 0, 0, 0, 0, 0, 1644.29, 580.699
-0.019, -0.019, 0.055, 0, 0, 0, 0, 0, 1644.29, 564.569
-0.019, -0.019, 0.056, 0, 0, 0, 0, 0, 1644.29, 548.438
-0.019, -0.019, 0.057, 0, 0, 0, 0, 0, 1644.29, 532.307
-0.019, -0.019, 0.058, 0, 0, 0, 0, 0, 1644.29, 516.177
-0.019, -0.019, 0.059, 0, 0, 0, 0, 0, 1644.29, 500.046
